Year,Cumulative Gross,%LY,Releases,Average,#1 Release,Gross,% of Total,quarter
2001,"$2,001,647,536 ",17.50%,90,"$22,240,528 ",Rush Hour 2,"$226,164,286 ",11.30%,q3
2024,"$2,604,367,052 ",23.60%,150,"$17,362,447 ",Wicked,"$473,112,235 ",18.20%,q4
2023,"$2,107,734,459 ",-1%,133,"$15,847,627 ",Wonka,"$218,402,312 ",10.40%,q4
2022,"$2,130,068,966 ",-13.50%,115,"$18,522,338 ",Avatar: The Way of Water,"$684,075,767 ",32.10%,q4
2021,"$2,462,149,348 ",896.10%,123,"$20,017,474 ",Spider-Man: No Way Home,"$804,793,477 ",32.70%,q4
2020,"$247,186,741 ",-92.90%,104,"$2,376,795 ",The Croods: A New Age,"$58,568,815 ",23.70%,q4
2019,"$3,480,582,260 ",2.60%,192,"$18,128,032 ",Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542 ",14.80%,q4
2018,"$3,391,364,523 ",-6.40%,223,"$15,207,912 ",Aquaman,"$335,061,807 ",9.90%,q4
2017,"$3,621,412,590 ",7.20%,191,"$18,960,275 ",Star Wars: Episode VIII - The Last Jedi,"$620,181,382 ",17.10%,q4
2016,"$3,377,815,439 ",-2.90%,172,"$19,638,461 ",Rogue One: A Star Wars Story,"$532,177,324 ",15.80%,q4
2015,"$3,478,854,985 ",4.20%,183,"$19,010,136 ",Star Wars: Episode VII - The Force Awakens,"$936,662,225 ",26.90%,q4
2014,"$3,339,544,499 ",-0.30%,169,"$19,760,618 ",American Sniper,"$350,126,372 ",10.50%,q4
2013,"$3,348,931,048 ",4.80%,170,"$19,699,594 ",The Hunger Games: Catching Fire,"$424,668,047 ",12.70%,q4
2012,"$3,196,296,207 ",18.90%,161,"$19,852,771 ",Skyfall,"$304,360,277 ",9.50%,q4
2011,"$2,688,498,237 ",-8.80%,141,"$19,067,363 ",The Twilight Saga: Breaking Dawn - Part 1,"$281,287,133 ",10.50%,q4
2010,"$2,947,072,928 ",-16.20%,136,"$21,669,653 ",Harry Potter and the Deathly Hallows: Part 1,"$295,983,305 ",10%,q4
2009,"$3,517,910,744 ",20.80%,130,"$27,060,851 ",Avatar,"$749,766,139 ",21.30%,q4
2008,"$2,912,665,917 ",5.10%,156,"$18,670,935 ",Twilight,"$192,769,854 ",6.60%,q4
2007,"$2,770,086,778 ",2%,173,"$16,012,062 ",I Am Legend,"$256,393,010 ",9.30%,q4
2006,"$2,717,026,341 ",-0.20%,165,"$16,466,826 ",Night at the Museum,"$250,863,268 ",9.20%,q4
2005,"$2,723,795,274 ",-6.40%,143,"$19,047,519 ","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957 ",10.70%,q4
2004,"$2,910,465,183 ",-1.70%,143,"$20,352,903 ",Meet the Fockers,"$279,261,160 ",9.60%,q4
2003,"$2,962,210,458 ",0.40%,139,"$21,310,866 ",The Lord of the Rings: The Return of the King,"$377,027,325 ",12.70%,q4
2002,"$2,949,443,216 ",2.70%,145,"$20,340,987 ",The Lord of the Rings: The Two Towers,"$339,789,881 ",11.50%,q4
2001,"$2,871,624,147 ",5.50%,106,"$27,090,793 ",Harry Potter and the Sorcerer's Stone,"$317,575,550 ",11.10%,q4
